Country_Annual_Real_GDP_MC_1	Country_Energy_Intensity_MC_1	Country_Emissions_MC_1	Country_Carbon_Intensity_MC_1	Country_Domestic_Energy_Demand_MC_1
NA	NA	NA	NA	NA
2175.11721	0.2349003929	193.4127846	0.3631365659	120.7076712
2158.568536	0.2356374112	189.9361229	0.3577279495	170.682132
2135.343402	0.2383678938	187.9939028	0.3585789075	228.4078158
2127.802473	0.334356153	237.8784921	0.4405494094	289.5872041
1935.109756	0.5579400667	238.6221452	0.7031113428	305.8229934
1657.214206	0.6387513775	199.4560383	0.7898475844	290.1294301
1376.142229	0.495441358	146.6862734	0.6082687428	264.5399206
1074.863491	0.3936037746	121.2111666	0.5109993033	242.1732486
965.3318665	0.3487259743	106.5500795	0.4629109373	211.6943569
956.4421675	0.3714106069	119.6602718	0.4922936496	186.5270078
914.3270495	0.4120319221	112.1186524	0.5607434017	178.8612309
799.6107753	0.4719510066	78.75835589	0.6555230186	168.5832319
680.6322556	0.349167674	51.76965372	0.4710339665	151.9531362
527.6407348	0.4297493953	46.98901331	0.5858524685	150.6389147
418.3449639	0.291216525	38.00470417	0.4201110438	138.5028215
394.8899803	0.2837011079	40.14727532	0.3985698693	124.0375211
394.4578361	0.2203284749	37.12047793	0.3323219606	119.0040984
417.7762382	0.2114006909	37.1476457	0.3216334046	120.3016039
446.8201836	0.2208981361	40.33139775	0.333101631	120.9923616
478.038755	0.2247270776	44.37182822	0.3361618405	122.6735042
511.1803809	0.2215735915	48.08293443	0.3325369264	124.9954696
549.9105162	0.2235092767	51.27807183	0.3340745293	128.0706259
590.3895492	0.2258688148	54.52877477	0.336881026	131.6523327
629.9731707	0.2282195643	58.39552216	0.339588013	135.8030479
671.840092	0.2304999568	63.79836338	0.3407955962	140.2162883
720.9492128	0.2342251718	69.89872718	0.3429830304	144.7398172
778.0940534	0.2385467343	76.25818085	0.3466049274	150.0179414
842.0113907	0.2432616884	83.108961	0.3505293421	156.1426713
909.1131468	0.249902677	90.93777465	0.3553415044	163.0506084
975.7525099	0.2576365992	98.48657779	0.362103442	170.8497492
1042.698769	0.2636724837	106.3702638	0.3684976847	178.4562414
1114.454733	0.2679838471	115.8155054	0.3727603434	186.3848515
1192.627804	0.2776927841	127.1444971	0.3782655406	193.9903022
1280.219743	0.2873573485	140.638464	0.3877503602	202.4683394
1377.387827	0.2923813662	153.3564337	0.3940038483	211.9306483
1483.242118	0.2936138174	166.285745	0.3958881832	223.7112695
1593.283519	0.3097656043	183.7095796	0.4071379686	233.9160306
1709.002612	0.325028802	204.4138587	0.4225833059	246.8117044
1823.000358	0.3327142233	220.4507476	0.433595349	259.8227519
1938.559082	0.3321404037	234.9953449	0.4343263589	275.5527168
2065.162824	0.3469875925	258.2616091	0.4437497531	286.8919473
2207.04489	0.3654908401	289.5942472	0.4618269865	301.077334
2347.997105	0.3689715817	306.048355	0.4690597953	318.1261818
2473.236796	0.3704073517	316.1288102	0.4747241248	338.5241245
2591.593524	0.3837100901	337.211971	0.4822893419	351.7268482
2703.672662	0.4093233078	372.3115714	0.5074904316	364.7213243
2760.583333	0.4294921887	373.9142366	0.5349909972	378.9029459
2820.41536	0.4030890582	364.0668249	0.5043268417	391.3505718
2884.452208	0.4132469123	387.9025	0.5116135037	398.4517212
2963.931224	0.4142748134	414.8804161	0.5098007534	406.2423104
3102.7404	0.4216295657	436.721432	0.5186328505	414.7717189
3237.667925	0.4164899207	442.7997923	0.5165189346	432.093994
3362.781852	0.4261129481	464.6587905	0.5246448546	445.2083276
3474.756102	0.4365590213	494.5163029	0.5336988012	459.0470667
3595.092662	0.4398355138	515.9998746	0.5364251799	471.9709444
3704.343884	0.4414926905	524.5145837	0.5427570254	490.4862156
3805.857199	0.4475237651	539.2416825	0.5472887483	500.9156157
3913.247755	0.4497049781	564.0022026	0.5468542585	512.9614444
4014.407533	0.4506569844	582.143309	0.5485649852	524.3867633
4116.075771	0.4520825015	590.8026829	0.5550408189	541.9757522
4215.036647	0.4551933049	601.8103887	0.5558707325	550.5545133
4304.748701	0.4607196936	626.7667493	0.5603191549	561.5746347
4403.004373	0.4565405238	643.0747243	0.5553721368	570.2923549
4510.384261	0.4557361024	653.763369	0.558845701	587.1183175
4608.237973	0.4644663038	669.234254	0.5677393389	596.4284554
4709.966334	0.4647372667	690.0151204	0.5666523206	607.6054441
4769.978082	0.4677189988	694.8665067	0.5718239176	619.3549114
4816.963181	0.4560855943	684.9648599	0.5626848881	634.9084095
4846.373831	0.4708339779	698.4739862	0.5777021155	639.500303
4895.044886	0.4626432322	712.2340682	0.5634455306	641.0334385
4967.395816	0.4638568139	731.8596972	0.567720845	644.1009291
5021.478102	0.4611396829	725.8559377	0.5713089695	656.6116061
5067.300911	0.4706317968	730.5010552	0.5804305779	659.8728681
5144.360047	0.4536862263	744.7859414	0.5542273397	661.6854401
5209.327084	0.4555172796	761.6612332	0.5613241112	670.0584113
5265.13354	0.4591924226	759.4064924	0.5711993706	684.602323
5327.932053	0.4711170546	771.5252296	0.5824116132	687.4195271
5397.197388	0.4595108802	790.9832547	0.5596381368	689.1875392
5471.448854	0.4563604824	805.2679843	0.5617825872	696.6068618
5541.090084	0.4642648716	807.4983098	0.5769836531	713.0678693
5595.889991	0.4729182052	808.1340916	0.5852916714	717.4726774
5665.379134	0.4578302122	828.9453845	0.556851315	718.4845571
5723.882859	0.4616692154	846.9612169	0.5675553636	724.0122119
5770.985925	0.4710543904	847.9921677	0.5854042494	737.9562603
5798.243822	0.4944170346	855.0503983	0.6092237274	740.2942433
5822.817689	0.4617170862	848.0998924	0.5603436597	735.4813129
5829.380863	0.4742886817	870.0334794	0.5820751896	739.3683833
5837.380344	0.4713320435	852.716628	0.5845479637	748.8747999
5850.368126	0.4923549564	858.0807712	0.6062672676	748.531913
5858.248593	0.4651006232	859.6370449	0.5643420909	742.7401499
5879.423338	0.4681355367	870.1346013	0.5743285716	743.4975415
5920.052177	0.4659573602	866.4478322	0.5773594462	750.6138808
5980.660554	0.482987297	882.1830611	0.5948137354	753.2076783
6013.380104	0.4642066802	882.5322237	0.5647226304	751.0082995
6054.752005	0.4621439032	886.5357169	0.5671565811	752.909822
6092.460521	0.4643113575	886.8390114	0.5744088164	761.5943966
6115.310668	0.483590027	898.024028	0.5949160971	764.4462393
6140.356989	0.4676184888	903.4244162	0.5685645377	760.321261
6175.934732	0.4613438038	905.1627234	0.5644986935	759.9156173
6195.117015	0.4714692305	908.4680508	0.5821732591	769.4876069
6204.16297	0.4861265366	909.574944	0.5981591103	770.6470869
6212.214947	0.4675348613	904.605356	0.5682022572	765.0688434
6214.266727	0.4599738804	906.0894299	0.5647285912	764.4626706
6225.369234	0.4696907336	912.5243079	0.5803628165	772.3729826
6237.353694	0.4852040939	914.3004374	0.5961949604	771.2911485
6239.528995	0.4714710131	912.3703846	0.5715243344	765.9589937
6235.403804	0.4613959071	902.5695725	0.5636716566	762.654183
6231.009065	0.4654598001	900.613052	0.5751565026	770.8991014
6236.827634	0.4815850264	909.2372761	0.592531303	772.1459546
6232.302901	0.4716695288	912.3275791	0.5739898452	766.4999249
6241.606389	0.4597521534	904.7279251	0.5632916884	763.603213
